Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
pure-fix-bar-tape,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/camo_tape_0003_red_white_black_53c9866e-1cfe-4188-aea2-dc1d09b67d6f.jpeg?v=1438626105,,,,,,,,,,,,,,,,,,,
bmx-bars,Freestyle Riser Bars,Pure Fix Cycles,Handlebars,"Bars, Bars and Stems, Bars and Tape, Bars Tape Grips and Stems, FGFS, FGFS Accessories, FGFS Series, Handle Bars, Handlebars, Parts",FALSE,Color,Alloy,,,,,Handlebar - BMX 22.2 - Silver,907,shopify,0,deny,manual,14,22,TRUE,TRUE,'741360637856,https://cdn.shopify.com/s/files/1/0923/8062/products/bmx_bars.jpeg?v=1438626091,,FALSE,,,,,,,,,,,,,,,,,lb
bmx-bars,,,,,,,Black,,,,,Handlebar - BMX 22.2 - Black,907,shopify,12,deny,manual,26,,TRUE,TRUE,'741360637863,https://cdn.shopify.com/s/files/1/0923/8062/products/blue_1204.jpeg?v=1438626092,Blue,,,,,,,,,,,,,,,,,,lb
bmx-bars,,,,,,,Blue,,,,,Handlebar - BMX 22.2 - Blue,907,shopify,0,deny,manual,14,22,TRUE,TRUE,'741360637146,https://cdn.shopify.com/s/files/1/0923/8062/products/green_1201.jpeg?v=1438626092,Green,,,,,,,,,,,,,,,,,,lb
bmx-bars,,,,,,,Gold,,,,,Handlebar - BMX 22.2 - Gold,907,shopify,0,deny,manual,14,22,TRUE,TRUE,'741360637849,https://cdn.shopify.com/s/files/1/0923/8062/products/red_1201.jpeg?v=1438626092,Red,,,,,,,,,,,,,,,,,,lb
bmx-bars,,,,,,,Green,,,,,Handlebar - BMX 22.2 - Green,907,shopify,0,deny,manual,14,22,TRUE,TRUE,'741360637573,,,,,,,,,,,,,,,,,,,,lb
bmx-bars,,,,,,,Red,,,,,Handlebar - BMX 22.2 - Red,907,shopify,0,deny,manual,14,22,TRUE,TRUE,'741360639010,,,,,,,,,,,,,,,,,,,,lb
bmx-bars,,,,,,,White,,,,,Handlebar - BMX 22.2 - White,907,shopify,3,deny,manual,14,22,TRUE,TRUE,'741360637832,,,,,,,,,,,,,,,,,,,,lb
rear-brake-kit,Brake Kit,Pure Fix Cycles,Brake,"Alloy, Black, Brake Parts, Brakes, Essential, Essentials, Parts, Safety Gear",TRUE,Position,Rear,Color,Black,,,Brake - Rear - Tektro - Blk,45,shopify,2107,deny,manual,39,,TRUE,TRUE,'712392689656,https://cdn.shopify.com/s/files/1/0923/8062/products/Tektro_Brake-Kit_Black_Front_WEB.jpeg?v=1438626087,Black,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/Tektro_Brake-Kit_Black_Front_WEB.jpeg?v=1438626087,lb
rear-brake-kit,,,,,,,Rear,,Alloy,,,Brake - Rear - Tektro - Silver,45,shopify,587,deny,manual,39,,TRUE,TRUE,'741360638112,https://cdn.shopify.com/s/files/1/0923/8062/products/Tektro_Brake-Kit_Front_WEB_3649b432-beb6-4166-a67f-e51e1a8cc253.jpeg?v=1438626087,Alloy,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/Tektro_Brake-Kit_Front_WEB_3649b432-beb6-4166-a67f-e51e1a8cc253.jpeg?v=1438626087,lb
